Wind, Lift, Drag
0, 0.000000, 0.000000
0.3, 0.007191, 0.001198
0.5, 0.001183, 0.000180
0.6, 0.001828, 0.000229
0.7, 0.001996, 0.000256
2.6, 0.006185, 0.000832
4.6, 0.004124, 0.000554
5.9, 0.015135, 0.001575
6.2, 0.024186, 0.003022
6.8, 0.016863, 0.002108
7.6, 0.019709, 0.002464
8, 0.021606, 0.002701
9.3, 0.024652, 0.003081
9.8, 0.025068, 0.003133
10, 0.025253, 0.003157
10.1, 0.025302, 0.003163
11.2, 0.027452, 0.003167
12, 0.028734, 0.003170
12.5, 0.029740, 0.003171
12.8, 0.030857, 0.003174
13.7, 0.031155, 0.003174
14.5, 0.032564, 0.003174
15, 0.034561, 0.003175
15.6, 0.035892, 0.003175
16, 0.039640, 0.004435
17.7, 0.041546, 0.005073
19.2, 0.044934, 0.005499
19.9, 0.047192, 0.005783
20.6, 0.048698, 0.005972
20.9, 0.051970, 0.006098
21.8, 0.054151, 0.006182
23.1, 0.060102, 0.007636
24.1, 0.061690, 0.008266
25.1, 0.065016, 0.008686
25.7, 0.067233, 0.008966
26.4, 0.069769, 0.009152
27, 0.072519, 0.009277
27.7, 0.074352, 0.009360
28.6, 0.081451, 0.009224
28.8, 0.084870, 0.009735
29.3, 0.084854, 0.010572
29.4, 0.086960, 0.011433
30, 0.088364, 0.011855
30.4, 0.091266, 0.012137
30.6, 0.093502, 0.012325
30.8, 0.094994, 0.012450
32.3, 0.098104, 0.012534
33.6, 0.100178, 0.012589
34.4, 0.102771, 0.012778
35, 0.107415, 0.014196
35.7, 0.110921, 0.014756
36.3, 0.113259, 0.015129
36.9, 0.116934, 0.015378
37.8, 0.119384, 0.015544
37.9, 0.121017, 0.015655
38.1, 0.123165, 0.015728
38.8, 0.128740, 0.015832
39, 0.129523, 0.015847
39.1, 0.130045, 0.015856
39.6, 0.134152, 0.016069
39.8, 0.135776, 0.015961
40.2, 0.136700, 0.017375
40.9, 0.138911, 0.017934
42.2, 0.140688, 0.018155
42.5, 0.143990, 0.018302
42.9, 0.149926, 0.018466
43.6, 0.152416, 0.018510
44.7, 0.158461, 0.019597
44.9, 0.162491, 0.020322
45.7, 0.167294, 0.020806
47.1, 0.173369, 0.021128
47.7, 0.185783, 0.023295
48, 0.190080, 0.023997
48.9, 0.197329, 0.024919
49.7, 0.204279, 0.026138
50.2, 0.211936, 0.026799
51.1, 0.218401, 0.027241
52.7, 0.224979, 0.027686
53.5, 0.231633, 0.028890
54.9, 0.236068, 0.029692
55.9, 0.241142, 0.030228
56.1, 0.244827, 0.030584
57.4, 0.250610, 0.030822
57.7, 0.267855, 0.033643
59, 0.275336, 0.033920
60.4, 0.284708, 0.035163
60.8, 0.293376, 0.035991
62.3, 0.308903, 0.037668
63, 0.316309, 0.038720
64.3, 0.324271, 0.039421
65, 0.332451, 0.040947
65.6, 0.344565, 0.042642
66.8, 0.352784, 0.043094
67.4, 0.361591, 0.044454
68.3, 0.368822, 0.045361
69.2, 0.376062, 0.045965
69.7, 0.398566, 0.049352
70.5, 0.407988, 0.050743
70.9, 0.419560, 0.051670
71.8, 0.429392, 0.052288
73.4, 0.439273, 0.053607
74.2, 0.447070, 0.054486
74.5, 0.452268, 0.055073
74.7, 0.456792, 0.055615
75.3, 0.460866, 0.056430
75.7, 0.464489, 0.057578
76, 0.472461, 0.059194
76.5, 0.493774, 0.062918
77.7, 0.507633, 0.064181
77.8, 0.516816, 0.066045
78, 0.521414, 0.066171
78.1, 0.518421, 0.066105
78.6, 0.513972, 0.065821
78.8, 0.513317, 0.065619
79, 0.508167, 0.064235
79.1, 0.508012, 0.063921
79.3, 0.507779, 0.064131
